Date,Person,Count,Denomination,Currency,Note
2017-05-29,Zach,1,0.01,USD,
2017-05-30,Zach,1,0.01,USD,
2017-05-30,Zach,1,0.01,USD,
2017-06-03,Mom,1,0.01,USD,
2017-06-03,Zach,1,0.01,USD,
2017-06-05,Zach,1,0.01,USD,
2017-06-05,Zach,1,0.05,USD,
2017-06-06,Zach,1,0.01,USD,
2017-06-07,Zach,1,0.01,USD,
2017-06-12,Dad,1,0.05,USD,
2017-06-13,Zach,4,0.01,USD,
2017-06-15,Zach,1,0.01,USD,
2017-06-15,Dad,1,0.01,USD,
2017-06-16,Dad,4,0.01,USD,
2017-06-18,Zach,1,0.05,USD,
2017-06-19,Zach,1,0.01,USD,
2017-06-20,Dad,1,0.01,USD,
2017-06-20,Dad,1,0.01,USD,
2017-06-21,Dad,1,0.01,USD,
2017-06-21,Zach,1,0.01,USD,
2017-06-25,Zach,1,0.01,USD,
2017-06-25,Zach,2,0.01,USD,
2017-06-25,Zach,1,0.10,USD,
2017-06-29,Dad,1,0.01,USD,
2017-06-29,Dad,1,0.05,USD,
2017-06-29,Dad,1,0.10,USD,
2017-06-29,Zach,2,1.00,USD,
2017-06-29,Dad,2,0.01,USD,
2017-06-29,Dad,1,0.05,USD,
2017-07-01,Dad,2,0.01,USD,
2017-07-01,Zach,1,0.01,USD,
2017-07-01,Zach,2,0.01,USD,
2017-07-02,Zach,1,0.01,USD,
2017-07-02,Zach,1,0.10,USD,
2017-07-02,Zach,1,0.01,USD,
2017-07-02,Zach,1,0.01,USD,
2017-07-02,Zach,1,0.05,USD,
2017-07-02,Zach,2,0.10,USD,
2017-07-02,Zach,1,0.25,USD,
2017-07-02,Zach,1,0.01,USD,
2017-07-02,Zach,1,0.01,USD,
2017-07-02,Zach,3,0.01,USD,
2017-07-02,Zach,3,0.01,USD,
2017-07-03,Zach,1,0.01,USD,
2017-07-03,Dad,1,0.01,USD,
2017-07-03,Dad,1,0.01,USD,
2017-07-08,Zach,1,0.01,USD,
2017-07-08,Zach,1,0.01,USD,
2017-07-08,Zach,1,0.01,USD,
2017-07-08,Zach,1,0.10,USD,
2017-07-08,Zach,6,0.01,USD,
2017-07-08,Zach,3,0.01,USD,
2017-07-09,Zach,1,0.01,USD,
2017-07-09,Noah,1,1.00,USD,
2017-07-10,Zach,1,0.01,USD,
2017-07-10,Zach,1,0.01,USD,
2017-07-10,Zach,1,0.01,USD,
2017-07-10,Zach,1,0.01,USD,
2017-07-11,Zach,1,0.01,USD,
2017-07-13,Zach,2,0.01,USD,
2017-07-14,Zach,1,0.01,USD,
2017-07-17,Zach,1,0.01,USD,
2017-07-17,Zach,1,0.01,USD,
2017-07-17,Zach,1,0.05,USD,
2017-07-19,Zach,2,0.01,USD,
2017-07-21,Dad,1,0.01,USD,
2017-07-22,Zach,1,0.01,USD,
2017-07-22,Zach,1,0.01,USD,
2017-08-03,Zach,1,0.01,USD,
2017-08-03,Dad,1,0.25,USD,
2017-08-05,Zach,1,0.01,USD,
2017-08-05,Dad,4,0.01,USD,
2017-08-06,Zach,1,0.01,USD,
2017-08-08,Dad,1,0.01,USD,
2017-08-09,Dad,1,0.01,USD,
2017-08-09,Zach,1,0.01,USD,
2017-08-09,Dad,1,0.10,USD,
2017-08-11,Zach,1,0.01,USD,
2017-08-12,Zach,1,0.01,USD,
2017-08-12,Zach,1,0.10,USD,
2017-08-13,Zach,1,0.25,USD,
2017-08-15,Zach,1,0.01,USD,
2017-08-15,Dad,1,0.01,USD,
2017-08-16,Zach,4,0.01,USD,
2017-08-16,Zach,1,0.02,GBP,
2017-08-16,Zach,1,0.01,USD,
2017-08-16,Zach,1,0.10,USD,
2017-08-17,Zach,1,0.10,USD,
2017-08-18,Zach,1,0.01,USD,
2017-08-18,Dad,2,0.01,USD,
2017-08-22,Dad,1,0.10,USD,
2017-08-24,Zach,1,0.10,USD,
2017-08-24,Dad,1,0.01,USD,
2017-08-25,Dad,1,0.25,USD,
2017-08-25,Zach,1,0.01,USD,
2017-08-25,Zach,1,0.01,USD,
2017-08-25,Zach,1,0.01,USD,
2017-08-25,Dad,1,0.01,USD,
2017-09-01,Zach,1,0.01,USD,
2017-09-01,Zach,1,0.01,USD,
2017-09-01,Zach,1,0.01,USD,
2017-09-01,Dad,1,0.25,USD,
2017-09-02,Zach,1,0.25,USD,
2017-09-07,Dad,1,0.01,USD,
2017-09-09,Zach,1,0.01,USD,
2017-09-09,Zach,2,0.01,USD,
2017-09-12,Dad,1,0.01,USD,
2017-09-13,Zach,1,0.01,USD,
2017-09-14,Dad,1,0.01,USD,
2017-09-16,Zach,1,0.10,USD,
2017-09-16,Zach,1,0.01,USD,
